  Thu Oct 19 10:45:15 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200806191646_p.inp
 200806191646
 Including emergent polarity picks
 Polarities/Errors:  P 031/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   40.26  159.07   82.25       0.00  0.00  0.00
   45.22  160.02   82.95       0.00  0.00  0.00
   50.18  160.82   83.48       0.00  0.00  0.00
   55.15  161.51   83.90       0.00  0.00  0.00
   60.13  162.12   84.23       0.00  0.00  0.00
   65.10  162.67   84.49       0.00  0.00  0.00
   70.08  163.18   84.68       0.00  0.00  0.00
   40.26  164.07   82.25       0.00  0.00  0.00
   45.22  165.02   82.95       0.00  0.00  0.00
   50.18  165.82   83.48       0.00  0.00  0.00
   55.15  166.51   83.90       0.00  0.00  0.00
   60.13  167.12   84.23       0.00  0.00  0.00
   65.10  167.67   84.49       0.00  0.00  0.00
   70.08  168.18   84.68       0.00  0.00  0.00
   35.31  337.90   81.33       0.00  0.00  0.00
   25.46  339.41   78.30       0.00  0.00  0.00
   30.38  341.42   80.08       0.00  0.00  0.00
   35.31  342.90   81.33       0.00  0.00  0.00
   40.26  344.07   82.25       0.00  0.00  0.00
   45.22  345.02   82.95       0.00  0.00  0.00
   50.18  345.82   83.48       0.00  0.00  0.00
   55.15  346.51   83.90       0.00  0.00  0.00
   25.46  344.41   78.30       0.00  0.00  0.00
   30.38  346.42   80.08       0.00  0.00  0.00
   35.31  347.90   81.33       0.00  0.00  0.00
   36.22  148.33   72.91       0.00  0.00  0.00
   41.03  150.56   74.66       0.00  0.00  0.00
   45.86  152.40   76.00       0.00  0.00  0.00
   50.73  153.96   77.04       0.00  0.00  0.00
   55.61  155.32   77.85       0.00  0.00  0.00
   55.61  160.39   77.85       0.00  0.00  0.00
   60.50  161.60   78.49       0.00  0.00  0.00
   65.41  162.69   78.99       0.00  0.00  0.00
   70.32  163.71   79.37       0.00  0.00  0.00
   75.23  164.66   79.65       0.00  0.00  0.00
   31.47  333.12   70.57       0.00  0.00  0.00
   31.47  338.19   70.57       0.00  0.00  0.00
   36.22  341.00   72.91       0.00  0.00  0.00
   41.03  343.24   74.66       0.00  0.00  0.00
   45.86  345.08   76.00       0.00  0.00  0.00
   50.73  346.64   77.04       0.00  0.00  0.00
   55.61  348.00   77.85       0.00  0.00  0.00
   61.12  150.93   72.81       0.00  0.00  0.00
   65.91  152.55   73.53       0.00  0.00  0.00
   70.71  154.05   74.08       0.00  0.00  0.00
   75.52  155.46   74.50       0.00  0.00  0.00
   37.70  144.29   64.96       0.00  0.00  0.00
   42.27  147.43   67.37       0.00  0.00  0.00
   46.92  150.06   69.25       0.00  0.00  0.00
   51.62  152.32   70.72       0.00  0.00  0.00
   56.36  154.30   71.89       0.00  0.00  0.00
   61.12  156.07   72.81       0.00  0.00  0.00
   65.91  157.69   73.53       0.00  0.00  0.00
   70.71  159.19   74.08       0.00  0.00  0.00
   75.52  160.60   74.50       0.00  0.00  0.00
   42.27  337.71   67.37       0.00  0.00  0.00
   46.92  340.35   69.25       0.00  0.00  0.00
   51.62  342.60   70.72       0.00  0.00  0.00
   56.36  344.59   71.89       0.00  0.00  0.00
   61.12  346.36   72.81       0.00  0.00  0.00
   65.91  347.98   73.53       0.00  0.00  0.00
   35.53  329.36   53.95       0.00  0.00  0.00
   39.67  333.97   57.60       0.00  0.00  0.00
   43.96  337.82   60.48       0.00  0.00  0.00
   48.36  341.12   62.76       0.00  0.00  0.00
   52.84  343.99   64.59       0.00  0.00  0.00
   57.39  346.53   66.04       0.00  0.00  0.00
   31.61  329.04   49.26       0.00  0.00  0.00
   35.53  334.65   53.95       0.00  0.00  0.00
   80.61  144.78   69.72       0.00  0.00  0.00
   66.60  144.47   68.12       0.00  0.00  0.00
   71.25  146.43   68.83       0.00  0.00  0.00
   75.92  148.29   69.35       0.00  0.00  0.00
   57.39  145.36   66.04       0.00  0.00  0.00
   61.98  147.65   67.20       0.00  0.00  0.00
   66.60  149.76   68.12       0.00  0.00  0.00
   71.25  151.73   68.83       0.00  0.00  0.00
   75.92  153.59   69.35       0.00  0.00  0.00
   48.36  145.24   62.76       0.00  0.00  0.00
   52.84  148.10   64.59       0.00  0.00  0.00
   57.39  150.65   66.04       0.00  0.00  0.00
   61.98  152.95   67.20       0.00  0.00  0.00
   66.60  155.06   68.12       0.00  0.00  0.00
   71.25  157.02   68.83       0.00  0.00  0.00
   75.92  158.88   69.35       0.00  0.00  0.00
   39.67  143.38   57.60       0.00  0.00  0.00
   43.96  147.24   60.48       0.00  0.00  0.00
   48.36  150.53   62.76       0.00  0.00  0.00
   52.84  153.40   64.59       0.00  0.00  0.00
   75.92  333.59   69.35       0.00  0.00  0.00
   66.60  335.06   68.12       0.00  0.00  0.00
   71.25  337.02   68.83       0.00  0.00  0.00
   52.84  333.40   64.59       0.00  0.00  0.00
   57.39  335.94   66.04       0.00  0.00  0.00
   61.98  338.24   67.20       0.00  0.00  0.00
   66.60  340.35   68.12       0.00  0.00  0.00
   71.25  342.32   68.83       0.00  0.00  0.00
   39.67  328.67   57.60       0.00  0.00  0.00
   43.96  332.53   60.48       0.00  0.00  0.00
   48.36  335.82   62.76       0.00  0.00  0.00
