  Tue Oct 24 17:02:51 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200807251715_p.inp
 200807251715
 Including emergent polarity picks
 Polarities/Errors:  P 031/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   21.09  110.86  -44.01       0.00  0.00  0.00
   21.09  116.01  -44.01       0.00  0.00  0.00
   22.27  115.67  -25.51       0.00  0.00  0.00
   24.81  115.45  -35.42       0.00  0.00  0.00
   25.46  114.30  -10.59       0.00  0.00  0.00
   26.81  114.43  -20.42       0.00  0.00  0.00
   28.90  115.78  -29.03       0.00  0.00  0.00
   31.61  112.96  -36.26       0.00  0.00  0.00
   68.53  303.45  -57.50       0.00  0.00  0.00
   30.38  114.91   -8.58       0.00  0.00  0.00
   30.38  120.72   -8.58       0.00  0.00  0.00
   31.47  117.03  -16.74       0.00  0.00  0.00
   33.23  114.07  -24.15       0.00  0.00  0.00
   33.23  119.88  -24.15       0.00  0.00  0.00
   35.53  117.82  -30.64       0.00  0.00  0.00
   38.29  116.67  -36.20       0.00  0.00  0.00
   65.82  302.05  -51.04       0.00  0.00  0.00
   35.31  120.99   -7.10       0.00  0.00  0.00
   36.22  118.67  -13.93       0.00  0.00  0.00
   37.70  116.82  -20.29       0.00  0.00  0.00
   39.67  115.57  -26.03       0.00  0.00  0.00
   37.70  122.93  -20.29       0.00  0.00  0.00
   39.67  121.67  -26.03       0.00  0.00  0.00
   42.06  121.06  -31.11       0.00  0.00  0.00
   85.91  121.86  -54.90       0.00  0.00  0.00
   90.00  305.08   55.00       0.00  0.00  0.00
   63.94  302.41  -44.31       0.00  0.00  0.00
   71.11  301.41  -47.21       0.00  0.00  0.00
   40.26  118.25   -5.93       0.00  0.00  0.00
   41.03  117.21  -11.69       0.00  0.00  0.00
   42.27  116.46  -17.14       0.00  0.00  0.00
   41.03  123.75  -11.69       0.00  0.00  0.00
   43.96  116.12  -22.18       0.00  0.00  0.00
   42.27  123.01  -17.14       0.00  0.00  0.00
   46.03  116.22  -26.73       0.00  0.00  0.00
   43.96  122.66  -22.18       0.00  0.00  0.00
   48.44  116.80  -30.79       0.00  0.00  0.00
   46.03  122.77  -26.73       0.00  0.00  0.00
   51.13  117.82  -34.36       0.00  0.00  0.00
   48.44  123.34  -30.79       0.00  0.00  0.00
   54.07  119.27  -37.45       0.00  0.00  0.00
   82.36  121.01  -49.57       0.00  0.00  0.00
   90.00  301.09   50.00       0.00  0.00  0.00
   86.17  124.31  -49.89       0.00  0.00  0.00
   82.36  301.17   49.57       0.00  0.00  0.00
   86.17  304.42   49.89       0.00  0.00  0.00
   78.56  304.41   49.02       0.00  0.00  0.00
   62.97  302.45  -37.45       0.00  0.00  0.00
   45.22  121.77   -4.98       0.00  0.00  0.00
   45.86  121.88   -9.85       0.00  0.00  0.00
   46.92  122.19  -14.51       0.00  0.00  0.00
   50.14  116.60  -22.91       0.00  0.00  0.00
   48.36  122.76  -18.88       0.00  0.00  0.00
   52.24  117.83  -26.57       0.00  0.00  0.00
   50.14  123.66  -22.91       0.00  0.00  0.00
   54.60  119.40  -29.84       0.00  0.00  0.00
   52.24  124.89  -26.57       0.00  0.00  0.00
   57.20  121.30  -32.73       0.00  0.00  0.00
   62.97  118.92  -37.45       0.00  0.00  0.00
   60.00  123.50  -35.26       0.00  0.00  0.00
   66.07  121.64  -39.32       0.00  0.00  0.00
   72.61  120.60  -42.19       0.00  0.00  0.00
   79.45  120.14  -44.01       0.00  0.00  0.00
   76.00  123.84  -43.22       0.00  0.00  0.00
   86.47  120.01  -44.89       0.00  0.00  0.00
   82.95  123.58  -44.56       0.00  0.00  0.00
   90.00  303.53   45.00       0.00  0.00  0.00
   82.95  303.48   44.56       0.00  0.00  0.00
   76.00  303.21   43.22       0.00  0.00  0.00
