  Wed Oct 18 15:42:55 2023 for program Focmec
 Event 8703270729 1.75 relative weighted errors
 Input from a file puna_20081018105_p.inp
 20081018105
 Including emergent polarity picks
 Polarities/Errors:  P 041/ 0.2  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   68.53  315.06  -57.50       0.14  0.00  0.00
   44.81  310.24  -35.53       0.14  0.00  0.00
   47.85  310.85  -39.32       0.11  0.00  0.00
   44.81  316.34  -35.53       0.11  0.00  0.00
   51.13  311.98  -42.55       0.07  0.00  0.00
   54.60  313.57  -45.28       0.08  0.00  0.00
   61.98  311.71  -49.48       0.09  0.00  0.00
   58.23  315.53  -47.57       0.09  0.00  0.00
   65.82  314.25  -51.04       0.06  0.00  0.00
   61.98  317.81  -49.48       0.13  0.00  0.00
   69.75  317.01  -52.31       0.10  0.00  0.00
   73.73  319.93  -53.31       0.15  0.00  0.00
   48.44  313.16  -30.79       0.11  0.00  0.00
   46.03  319.13  -26.73       0.14  0.00  0.00
   51.13  314.19  -34.36       0.04  0.00  0.00
   48.44  319.71  -30.79       0.14  0.00  0.00
   54.07  315.64  -37.45       0.00  0.00  0.00
   60.50  313.07  -42.39       0.06  0.00  0.00
   57.20  317.46  -40.12       0.03  0.00  0.00
   63.94  315.50  -44.31       0.03  0.00  0.00
   60.50  319.61  -42.39       0.12  0.00  0.00
   67.48  318.18  -45.90       0.03  0.00  0.00
   71.11  321.05  -47.21       0.10  0.00  0.00
   78.56  137.41  -49.02       0.12  0.00  0.00
   52.24  315.47  -26.57       0.13  0.00  0.00
   54.60  317.05  -29.84       0.06  0.00  0.00
   57.20  318.94  -32.73       0.07  0.00  0.00
   62.97  316.56  -37.45       0.07  0.00  0.00
   60.00  321.15  -35.26       0.11  0.00  0.00
   66.07  319.28  -39.32       0.06  0.00  0.00
   69.30  322.21  -40.89       0.10  0.00  0.00
   76.00  137.96  -43.22       0.11  0.00  0.00
   79.45  141.32  -44.01       0.14  0.00  0.00
   58.23  321.48  -25.70       0.13  0.00  0.00
   62.97  319.19  -30.68       0.12  0.00  0.00
   65.60  322.30  -32.73       0.12  0.00  0.00
   74.24  137.05  -37.25       0.13  0.00  0.00
   77.30  140.80  -38.26       0.14  0.00  0.00
   75.97  139.44  -32.40       0.14  0.00  0.00
   81.46  139.70  -34.07       0.14  0.00  0.00
