  Fri Oct 20 12:24:28 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200810280931_p.inp
 200810280931
 Including emergent polarity picks
 Polarities/Errors:  P 042/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   90.00  121.94   60.00       0.00  0.00  0.00
   90.00  122.03   55.00       0.00  0.00  0.00
   55.15  302.44    3.49       0.00  0.00  0.00
   78.69  301.97  -33.34       0.00  0.00  0.00
   84.28  302.37  -34.59       0.00  0.00  0.00
   87.13  122.64  -34.90       0.00  0.00  0.00
   77.80  301.99  -27.62       0.00  0.00  0.00
   80.15  122.50   28.48       0.00  0.00  0.00
   61.98  122.80   11.17       0.00  0.00  0.00
   61.12  122.81   -8.50       0.00  0.00  0.00
   80.15  302.50   28.48       0.00  0.00  0.00
   68.53  302.50   13.12       0.00  0.00  0.00
   68.53  122.50   13.12       0.00  0.00  0.00
   67.48  122.77  -11.15       0.00  0.00  0.00
   70.32  302.57   -3.62       0.00  0.00  0.00
   76.00  122.42  -14.43       0.00  0.00  0.00
   84.92  122.13  -19.37       0.00  0.00  0.00
   90.00  302.40   20.00       0.00  0.00  0.00
   84.92  302.67   19.37       0.00  0.00  0.00
   80.15  302.72   17.50       0.00  0.00  0.00
   76.00  302.38   14.43       0.00  0.00  0.00
   75.06  302.72   -1.34       0.00  0.00  0.00
   82.56  122.43   13.06       0.00  0.00  0.00
   84.92  302.74   14.13       0.00  0.00  0.00
   80.42  302.03   11.60       0.00  0.00  0.00
   80.04  302.77    0.88       0.00  0.00  0.00
   83.59  302.65   -7.69       0.00  0.00  0.00
   85.02  302.69    8.68       0.00  0.00  0.00
