  Mon Oct 23 13:13:11 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200811192333_p.inp
 200811192333
 Including emergent polarity picks
 Polarities/Errors:  P 033/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   85.17  322.70   74.95       0.00  0.00  0.00
   85.30  321.23   69.93       0.00  0.00  0.00
   85.47  319.11   64.92       0.00  0.00  0.00
   85.47  324.65   64.92       0.00  0.00  0.00
   90.00  319.35   60.00       0.00  0.00  0.00
   85.67  322.66   59.91       0.00  0.00  0.00
   85.91  320.52   54.90       0.00  0.00  0.00
   90.00  323.39   55.00       0.00  0.00  0.00
   40.26  330.11    5.93       0.00  0.00  0.00
   86.17  137.40  -49.89       0.00  0.00  0.00
   90.00  320.73   50.00       0.00  0.00  0.00
   86.17  324.05   49.89       0.00  0.00  0.00
   45.00  326.47   -0.00       0.00  0.00  0.00
   82.95  137.70  -44.56       0.00  0.00  0.00
   90.00  317.65   45.00       0.00  0.00  0.00
   86.47  141.19  -44.89       0.00  0.00  0.00
   86.47  321.17   44.89       0.00  0.00  0.00
   90.00  324.71   45.00       0.00  0.00  0.00
   82.95  324.66   44.56       0.00  0.00  0.00
   50.73  329.92    8.29       0.00  0.00  0.00
   80.42  136.82  -39.03       0.00  0.00  0.00
   83.59  140.74  -39.57       0.00  0.00  0.00
   90.00  320.87   40.00       0.00  0.00  0.00
   86.79  324.86   39.89       0.00  0.00  0.00
   55.15  328.78    3.49       0.00  0.00  0.00
   81.46  139.70  -34.07       0.00  0.00  0.00
   87.13  140.20  -34.90       0.00  0.00  0.00
   84.28  325.44   34.59       0.00  0.00  0.00
   75.52  136.57  -26.57       0.00  0.00  0.00
   80.15  137.50  -28.48       0.00  0.00  0.00
   85.02  138.68  -29.62       0.00  0.00  0.00
   82.56  143.06  -29.15       0.00  0.00  0.00
   87.50  144.33  -29.91       0.00  0.00  0.00
   66.60  327.88    9.06       0.00  0.00  0.00
   68.53  141.50  -13.12       0.00  0.00  0.00
   72.61  138.19  -18.25       0.00  0.00  0.00
   75.97  140.40  -20.91       0.00  0.00  0.00
   81.69  138.26  -23.66       0.00  0.00  0.00
   79.71  142.91  -22.91       0.00  0.00  0.00
   85.79  141.08  -24.67       0.00  0.00  0.00
   90.00  324.00   25.00       0.00  0.00  0.00
   74.81  141.84  -13.17       0.00  0.00  0.00
   78.69  141.34  -16.60       0.00  0.00  0.00
   83.28  141.28  -18.88       0.00  0.00  0.00
   88.29  141.50  -19.93       0.00  0.00  0.00
   80.42  143.24  -11.60       0.00  0.00  0.00
   84.92  142.53  -14.13       0.00  0.00  0.00
   84.28  325.41    8.22       0.00  0.00  0.00
   87.13  325.10    4.10       0.00  0.00  0.00
