  Mon Oct 16 17:14:05 2023 for program Focmec
 Event 8703270729 1.75 relative weighted errors
 Input from a file puna_200903272221_p.inp
 200903272221
 Including emergent polarity picks
 Polarities/Errors:  P 037/ 0.2  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   75.92    0.06   69.35       0.13  0.00  0.00
   76.43  353.54   64.23       0.12  0.00  0.00
   71.94  356.79   63.61       0.12  0.00  0.00
   76.43  359.08   64.23       0.11  0.00  0.00
   77.05  352.37   59.13       0.15  0.00  0.00
   72.77  355.49   58.43       0.08  0.00  0.00
   77.05  358.18   59.13       0.12  0.00  0.00
   68.53  358.49   57.50       0.08  0.00  0.00
   73.73  354.31   53.31       0.09  0.00  0.00
   77.76  357.36   54.06       0.14  0.00  0.00
   69.75  357.23   52.31       0.09  0.00  0.00
   61.98  356.42   49.48       0.14  0.00  0.00
   65.82  359.98   51.04       0.12  0.00  0.00
   74.81  353.38   48.24       0.12  0.00  0.00
   67.48  352.73   45.90       0.12  0.00  0.00
   71.11  356.41   47.21       0.10  0.00  0.00
   63.94  355.40   44.31       0.07  0.00  0.00
   67.48  359.28   45.90       0.12  0.00  0.00
   60.50  357.84   42.39       0.08  0.00  0.00
   72.61  355.87   42.19       0.12  0.00  0.00
   66.07  354.84   39.32       0.09  0.00  0.00
   69.30  358.97   40.89       0.12  0.00  0.00
   62.97  357.55   37.45       0.09  0.00  0.00
   74.24  355.99   37.25       0.14  0.00  0.00
   68.37  355.27   34.50       0.12  0.00  0.00
   65.60  358.57   32.73       0.14  0.00  0.00
   70.79  356.50   29.84       0.15  0.00  0.00
