  Tue Oct 17 12:01:12 2023 for program Focmec
 Event 8703270729 1.75 relative weighted errors
 Input from a file puna_200904111245_p.inp
 200904111245
 Including emergent polarity picks
 Polarities/Errors:  P 030/ 0.3  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   10.00   35.00   90.00       0.31  0.00  0.00
   10.00   40.00   90.00       0.29  0.00  0.00
   10.00   45.00   90.00       0.30  0.00  0.00
   85.00  245.00  -90.00       0.32  0.00  0.00
   85.00  250.00  -90.00       0.26  0.00  0.00
   85.00  255.00  -90.00       0.25  0.00  0.00
   85.00  260.00  -90.00       0.26  0.00  0.00
   85.00  265.00  -90.00       0.30  0.00  0.00
   85.00  270.00  -90.00       0.35  0.00  0.00
   85.02  265.44  -84.98       0.31  0.00  0.00
   85.02  270.44  -84.98       0.27  0.00  0.00
   85.02  275.44  -84.98       0.24  0.00  0.00
   85.02  280.44  -84.98       0.23  0.00  0.00
   85.02  285.44  -84.98       0.23  0.00  0.00
   85.02  290.44  -84.98       0.27  0.00  0.00
   85.02  295.44  -84.98       0.32  0.00  0.00
   85.02  164.56   84.98       0.33  0.00  0.00
   85.02  169.56   84.98       0.33  0.00  0.00
   80.04  194.12   84.92       0.35  0.00  0.00
    7.07  109.89  -44.89       0.30  0.00  0.00
    7.07  114.89  -44.89       0.26  0.00  0.00
    7.07  119.89  -44.89       0.28  0.00  0.00
    7.07  124.89  -44.89       0.34  0.00  0.00
   90.00  121.69   80.00       0.28  0.00  0.00
   90.00  126.76   80.00       0.24  0.00  0.00
   90.00  131.83   80.00       0.26  0.00  0.00
   90.00  136.90   80.00       0.31  0.00  0.00
   90.00  141.97   80.00       0.35  0.00  0.00
   85.08  156.31   79.96       0.34  0.00  0.00
   85.08  161.38   79.96       0.33  0.00  0.00
