Longitude Latitude 0 Strike Dip Rake Magnitude Longitude Latitude id
-65.734749 -27.163853 -17.383 177 43 60 1.96 -65.734749 -27.163853 1
-67.655078 -26.629547 -8.401 112 75 46 2.4 -67.655078 -26.629547 2
-66.930815 -25.962929 -2.727 304 89 2 2.52 -66.930815 -25.962929 3
-66.932393 -25.964187 -2.145 123 79 -15 2.7 -66.932393 -25.964187 4
-67.289343 -25.864305 -10.445 308 58 -31 3.87 -67.289343 -25.864305 5
-67.29198 -25.869232 -9.223 299 72 -42 3.22 -67.29198 -25.869232 6
-66.249386 -27.078851 -12.683 335 62 75 2.36 -66.249386 -27.078851 7
-67.621436 -26.661926 -2.628 147 77 -6 2.16 -67.621436 -26.661926 8
-67.927401 -26.174813 -0.755 214 27 -30 2.14 -67.927401 -26.174813 9
-66.659599 -26.068819 -0.187 134 54 -27 3.04 -66.659599 -26.068819 10
-67.346615 -26.923779 -8.756 127 88 -13 2.15 -67.346615 -26.923779 11
-66.660661 -26.067767 -0.008 312 55 -9 2.74 -66.660661 -26.067767 12
-67.522925 -27.865926 -24.775 330 75 73 2.86 -67.522925 -27.865926 13
-66.630562 -27.255674 -8.746 158 72 69 3.23 -66.630562 -27.255674 14
-66.63219 -27.253815 -8.197 144 53 41 2.71 -66.63219 -27.253815 15
-66.628271 -27.257918 -8.808 355 38 95 2.93 -66.628271 -27.257918 16
-66.629525 -27.258846 -9.542 329 58 36 2.96 -66.629525 -27.258846 17
-67.813163 -26.019497 -1.975 159 43 77 2.41 -67.813163 -26.019497 18
-67.280514 -26.732381 -6.394 272 77 29 1.85 -67.280514 -26.732381 19
-66.771659 -26.331108 -5.68 133 64 -11 2.02 -66.771659 -26.331108 20
-66.367456 -26.637419 -1.425 171 88 47 2.25 -66.367456 -26.637419 21
-66.985083 -26.957874 -5.683 122 69 -17 1.84 -66.985083 -26.957874 22
-66.178455 -27.06897 0 330 57 40 3.08 -66.178455 -27.06897 23
-67.620292 -26.553198 -8.963 95 77 -56 1.82 -67.620292 -26.553198 24
-67.888025 -26.358492 -7.489 325 65 67 2.64 -67.888025 -26.358492 25
-67.805986 -25.973582 -2.885 103 83 -6 2.25 -67.805986 -25.973582 26
-67.910388 -26.408118 -6.867 155 33 50 2.03 -67.910388 -26.408118 27
-66.658272 -26.070544 0 322 50 -23 2.58 -66.658272 -26.070544 28
-66.597396 -27.36826 -6.104 302 88 -1 2.48 -66.597396 -27.36826 29
-67.349776 -26.521134 -4.819 329 78 2 2.49 -67.349776 -26.521134 30
-67.657918 -25.729773 -10.882 347 55 32 3.17 -67.657918 -25.729773 31
-66.895752 -27.155912 -11.485 142 89 -33 2.28 -66.895752 -27.155912 32
-66.197693 -26.373002 -6.406 145 65 -23 2.74 -66.197693 -26.373002 33
-66.973633 -25.800332 -3.455 300 73 -51 2.38 -66.973633 -25.800332 34
-67.540649 -26.483374 -10.518 137 84 20 2.09 -67.540649 -26.483374 35
-67.541467 -26.484288 -10.858 136 84 18 2.82 -67.541467 -26.484288 36
-67.903569 -26.187614 0 219 36 -59 1.9 -67.903569 -26.187614 37
-66.146488 -26.91141 -1.723 311 54 19 2.12 -66.146488 -26.91141 38
-66.616626 -26.304604 -1.397 320 46 -11 2.91 -66.616626 -26.304604 39
-66.94504 -25.674654 -6.583 168 85 12 2.52 -66.94504 -25.674654 40
-66.493551 -26.750299 -14.55 184 72 -30 2.55 -66.493551 -26.750299 41
-66.890446 -25.929976 -2.453 328 31 -8 2.38 -66.890446 -25.929976 42
-66.889152 -25.92915 -2.577 343 46 7 3.02 -66.889152 -25.92915 43
-67.81724 -25.911481 -1.669 11 52 -73 2.42 -67.81724 -25.911481 44
-67.635042 -26.72797 -4.794 327 77 2 3.52 -67.635042 -26.72797 45
-67.632638 -26.726919 -4.58 159 72 -16 2.71 -67.632638 -26.726919 46
-69.063013 -25.985618 0 22 61 83 3.02 -69.063013 -25.985618 47
-67.890015 -26.160785 -1.4 75 85 89 2.92 -67.890015 -26.160785 48
-65.851131 -26.601404 -17.099 217 31 49 2.96 -65.851131 -26.601404 49
-68.58811 -27.108445 -6.464 63 74 -81 2.92 -68.58811 -27.108445 50
-66.998201 -26.807332 -9.591 323 66 -17 2.88 -66.998201 -26.807332 51
-66.659485 -26.06849 -0.121 319 77 -19 2.69 -66.659485 -26.06849 52
-66.706234 -27.360036 -10.853 164 47 71 2.69 -66.706234 -27.360036 53
-68.18855 -26.800283 -6.357 210 41 -83 2.77 -68.18855 -26.800283 54
-67.457955 -27.215251 -11.732 315 49 51 2.17 -67.457955 -27.215251 55
-67.701839 -25.865515 -5.72 147 21 5 2.61 -67.701839 -25.865515 56
-65.773588 -26.931734 -13.86 7 48 18 2.4 -65.773588 -26.931734 57
