Year,MM,DD,HH,MM,Sec,Latitude,Longitude,Depth,stations,RMS,Mc,AzGap,TimeErr,LatErr,LonErr,DepthErr
2008,3,4,12,06,14.8,-25.884,-67.256,11.8,21,0.6,,254,1.74,8.1,7.4,40.8
2008,3,4,12,24,48.7,-25.852,-67.224,0.0,32,0.7,,230,2.06,5.6,5.7,129.6
2008,3,4,13,03,13.9,-25.923,-67.265,8.2,35,0.8,,225,2.18,6.2,6.6,40.1
2008,3,5,02,45,16.7,-26.974,-67.264,0.0,21,0.5,,116,1.30,1.8,2.0,39.8
2008,3,5,08,54,34.7,-26.767,-68.126,4.4,22,0.6,,61,1.59,2.2,1.7,10.6
2008,3,5,15,38,31.3,-27.313,-66.577,10.4,15,0.3,,139,0.85,2.9,3.5,8.8
2008,3,7,08,15,18.4,-28.149,-66.650,152.9,35,0.5,,266,1.29,5.9,5.0,4.8
2008,3,7,17,18,26.9,-27.976,-66.554,162.2,34,0.4,,260,1.06,4.5,4.5,3.5
2008,3,9,14,36,5.6,-28.260,-67.492,119.1,33,0.8,,256,2.11,8.4,7.0,7.6
2008,3,10,09,43,3.2,-28.417,-69.453,90.0,34,1.5,,287,4.12,18.7,16.2,46.4
2008,3,11,11,19,17.9,-28.594,-67.518,97.0,15,0.5,,285,1.50,7.5,6.0,13.9
2008,3,11,22,28,17.5,-27.879,-66.805,154.8,35,0.3,,230,0.94,4.6,3.5,2.9
2008,3,12,06,43,35.7,-26.867,-65.655,14.2,21,0.7,,303,2.00,5.5,6.4,8.8
2008,3,12,23,47,13.9,-28.760,-68.448,91.5,27,1.0,,289,2.77,17.5,14.2,51.2
2008,3,14,06,55,14.6,-28.523,-67.616,99.7,55,1.1,,252,3.10,11.7,6.8,14.6
2008,3,15,01,03,45.4,-28.304,-69.295,100.5,32,0.8,,283,2.14,11.3,7.7,15.8
2008,3,16,04,39,28.9,-28.943,-68.143,2.6,29,1.1,,298,2.93,9.5,10.3,18.9
2008,3,16,12,52,1.1,-25.883,-69.010,0.0,20,1.1,,134,2.97,10.8,13.2,344.8
2008,3,17,01,54,37.3,-28.570,-67.085,116.5,36,0.5,,271,1.37,4.9,4.5,7.7
2008,3,17,03,00,22.3,-27.849,-66.816,154.7,31,0.4,,223,1.09,4.6,4.7,3.8
2008,3,18,16,59,8.4,-28.034,-69.541,98.7,34,0.6,,276,1.73,8.6,10.7,10.9
2008,3,19,04,09,2.6,-28.291,-67.455,118.2,32,0.8,,259,2.09,8.2,6.7,7.4
2008,3,19,17,41,54.8,-28.001,-66.613,150.2,20,0.6,,274,1.58,10.7,9.9,7.8
2008,3,20,10,28,10.0,-28.087,-66.659,149.9,27,0.3,,262,0.95,7.7,4.2,4.0
2008,3,20,20,20,11.3,-27.022,-68.022,0.0,15,0.2,,77,0.44,0.8,0.9,5.8
2008,3,21,15,54,46.4,-27.495,-69.248,93.2,29,0.4,,206,1.15,5.5,6.2,9.1
2008,3,23,14,34,17.1,-27.319,-66.573,18.5,49,0.7,,87,2.00,2.8,2.7,5.9
2008,3,23,14,34,16.7,-27.334,-66.574,23.5,51,0.8,,92,2.31,3.3,3.3,4.6
2008,3,24,12,22,0.3,-28.713,-68.106,87.0,26,0.6,,287,1.72,22.2,7.4,22.4
2008,3,25,18,25,37.6,-28.330,-66.487,20.9,17,0.7,,283,2.04,7.0,7.0,9.8
2008,3,26,17,47,59.8,-27.309,-66.558,8.9,15,0.4,,228,1.13,3.6,5.8,18.4
2008,3,27,01,35,29.7,-27.893,-69.198,108.0,18,0.7,,262,1.98,9.5,9.4,11.2
2008,3,29,14,18,39.4,-26.702,-67.228,0.0,16,0.4,,164,1.19,2.1,2.6,18.1
