id Event Latitude Longitude Depth Magnitude Strike Dip Rake Strike_SD Dip_SD Rake_SD Strike2 Dip2 Rake2 Location
1 2008-01-12T00:44:10.30 -27.163853 -65.734749 17.383 1.96 177 43 60 19 13 9 35 53 114 2
2 2008-01-22T13:09:39.61 -26.629547 -67.655078 8.401 2.4 112 75 46 3 9 14 7 45 158 3
3 2008-01-25T13:13:3.12 -25.962929 -66.930815 2.727 2.52 304 89 2 7 32 36 214 87 179 4
4 2008-01-25T16:34:5.30 -25.964187 -66.932393 2.145 2.7 123 79 -15 6 24 25 216 74 -168 4
5 2008-03-04T12:24:48.99 -25.864305 -67.289343 10.445 3.87 308 58 -31 3 3 5 55 63 -144 4
6 2008-03-04T13:03:12.82 -25.869232 -67.29198 9.223 3.22 299 72 -42 6 7 5 44 49 -157 4
7 2008-04-16T20:45:43.80 -27.078851 -66.249386 12.683 2.36 335 62 75 10 14 8 185 30 115 2
8 2008-04-17T14:36:42.11 -26.661926 -67.621436 2.628 2.16 147 77 -6 3 16 12 238 84 -167 3
9 2008-04-22T01:07:18.50 -26.174813 -67.927401 0.755 2.14 214 27 -30 8 23 22 332 76 -114 1
10 2008-05-01T15:20:1.47 -26.068819 -66.659599 0.187 3.04 134 54 -27 1 9 6 241 67 -141 4
11 2008-05-29T13:53:30.84 -26.923779 -67.346615 8.756 2.15 127 88 -13 4 16 22 218 76 -177 3
12 2008-05-29T18:18:41.36 -26.067767 -66.660661 0.008 2.74 312 55 -9 0 6 1 48 81 -145 4
13 2008-06-09T00:50:22.54 -27.865926 -67.522925 24.775 2.86 330 75 73 1 3 6 201 21 139 2
14 2008-06-19T15:44:46.25 -27.255674 -66.630562 8.746 3.23 158 72 69 5 3 10 29 26 137 2
15 2008-06-19T16:04:35.89 -27.253815 -66.63219 8.197 2.71 144 53 41 0 11 12 26 57 135 2
16 2008-06-19T16:46:52.70 -27.257918 -66.628271 8.808 2.93 355 38 95 19 20 24 169 51 85 2
17 2008-06-20T08:08:14.73 -27.258846 -66.629525 9.542 2.96 329 58 36 1 6 7 218 59 142 2
18 2008-06-21T12:40:54.55 -26.019497 -67.813163 1.975 2.41 159 43 77 7 14 11 356 48 101 1
19 2008-06-28T19:09:32.16 -26.732381 -67.280514 6.394 1.85 272 77 29 1 7 15 174 61 165 3
20 2008-07-18T07:54:6.76 -26.331108 -66.771659 5.68 2.02 133 64 -11 3 17 23 228 79 -153 4
21 2008-07-23T10:56:22.92 -26.637419 -66.367456 1.425 2.25 171 88 47 2 3 9 79 42 177 4
22 2008-07-25T17:15:33.00 -26.957874 -66.985083 5.683 1.84 122 69 -17 3 18 19 218 73 -158 3
23 2008-07-27T22:01:23.26 -27.06897 -66.178455 0 3.08 330 57 40 4 2 3 215 57 139 2
24 2008-08-31T08:03:34.07 -26.553198 -67.620292 8.963 1.82 95 77 -56 1 0 2 204 35 -157 3
25 2008-09-27T04:37:16.90 -26.358492 -67.888025 7.489 2.64 325 65 67 3 8 4 190 33 129 1
26 2008-10-02T01:16:40.33 -25.973582 -67.805986 2.885 2.25 103 83 -6 7 22 29 194 83 -173 1
27 2008-10-08T15:05:22.08 -26.408118 -67.910388 6.867 2.03 155 33 50 2 5 6 19 64 113 1
28 2008-10-18T10:05:14.14 -26.070544 -66.658272 0 2.58 322 50 -23 6 15 15 67 71 -138 4
29 2008-10-28T09:31:57.19 -27.36826 -66.597396 6.104 2.48 302 88 -1 0 13 24 32 88 -178 2
30 2008-11-07T04:25:54.40 -26.521134 -67.349776 4.819 2.49 329 78 2 9 19 22 239 87 168 3
31 2008-11-08T20:33:44.40 -25.729773 -67.657918 10.882 3.17 347 55 32 4 10 14 237 63 141 1
32 2008-11-19T23:33:8.82 -27.155912 -66.895752 11.485 2.28 142 89 -33 3 14 19 232 56 -179 3
33 2008-11-22T10:29:23.94 -26.373002 -66.197693 6.406 2.74 145 65 -23 1 9 10 246 68 -153 4
34 2008-11-25T06:58:15.18 -25.800332 -66.973633 3.455 2.38 300 73 -51 1 5 8 50 40 -154 4
35 2008-12-02T21:01:39.76 -26.483374 -67.540649 10.518 2.09 137 84 20 2 7 7 45 69 174 3
36 2008-12-04T14:03:28.11 -26.484288 -67.541467 10.858 2.82 136 84 18 2 7 22 45 71 174 3
37 2008-12-19T08:38:25.47 -26.187614 -67.903569 0 1.9 219 36 -59 11 19 13 3 58 -111 1
38 2008-12-31T09:22:13.33 -26.91141 -66.146488 1.723 2.12 311 54 19 6 18 19 209 74 143 2
39 2009-01-04T04:28:52.15 -26.304604 -66.616626 1.397 2.91 320 46 -11 0 5 0 58 81 -135 4
40 2009-01-04T12:37:23.71 -25.674654 -66.94504 6.583 2.52 168 85 12 5 13 16 77 77 175 4
41 2009-01-14T15:00:5.25 -26.750299 -66.493551 14.55 2.55 184 72 -30 11 12 28 284 60 -159 4
42 2009-01-25T09:02:16.56 -25.929976 -66.890446 2.453 2.38 328 31 -8 5 16 8 66 85 -121 5
43 2009-01-25T16:37:52.48 -25.92915 -66.889152 2.577 3.02 343 46 7 6 13 8 248 84 135 5
44 2009-02-20T22:01:31.56 -25.911481 -67.81724 1.669 2.42 11 52 -73 28 21 43 166 40 -110 1
45 2009-03-26T21:23:48.34 -26.72797 -67.635042 4.794 3.52 327 77 2 2 9 11 237 87 167 3
46 2009-03-27T22:21:30.18 -26.726919 -67.632638 4.58 2.71 159 72 -16 6 14 25 254 74 -161 3
47 2009-04-09T22:49:5.18 -25.985618 -69.063013 0 3.02 22 61 83 60 20 17 215 28 101 5
48 2009-04-11T12:45:59.17 -26.160785 -67.890015 1.4 2.92 75 85 89 3 3 0 257 4 91 1
