fname	t0	p_idx	p_prob	s_idx	s_prob	p_amp	s_amp
2008_01_01_000000.00_X6_BB03_mseed	2008-01-01T00:00:00.000	[1,183974,379140,1236592,2255635,3450066,3462612,3516888,3602767,4048927,4166404,4206631]	[0.528,0.598,0.502,0.566,0.954,0.638,0.851,0.594,0.904,0.529,0.731,0.819]	[380235,3450740,4207823]	[0.532,0.651,0.731]	[5.481e+02,8.322e+02,2.263e+03,1.177e+03,2.484e+03,1.259e+03,3.514e+03,1.004e+03,1.210e+03,5.892e+02,7.850e+02,1.770e+03]	[3.485e+03,1.259e+03,2.490e+03]
2008_01_01_000000.00_X6_BB04_mseed	2008-01-01T00:00:00.000	[1147531,1236468,1282747,1356514,1573667,1660817,2234921,2255723,2533339,2832066,2948386,3043010,3385954,3450618,3462688,3516962,3627453,3793554,4047906,4152386,4154255,4167054,4207294]	[0.638,0.585,0.893,0.861,0.840,0.927,0.855,0.963,0.874,0.500,0.760,0.611,0.915,0.698,0.763,0.567,0.922,0.853,0.668,0.840,0.574,0.538,0.901]	[381308,1650680,1661163,2397959,3043743,3386868,3793667,3952505]	[0.525,0.596,0.557,0.569,0.529,0.641,0.665,0.661]	[6.137e+02,1.330e+03,2.487e+02,5.812e+02,3.249e+02,5.867e+02,5.759e+02,5.162e+02,8.238e+02,3.523e+02,3.948e+02,6.075e+02,7.714e+02,6.889e+02,1.535e+03,7.115e+02,3.006e+02,6.686e+02,5.407e+02,3.514e+02,7.022e+02,4.711e+02,6.501e+02]	[5.573e+02,3.810e+02,5.867e+02,3.788e+02,5.417e+02,7.714e+02,6.686e+02,3.851e+02]
2008_01_01_000000.00_X6_BB11_mseed	2008-01-01T00:00:00.000	[145115,293586,989589,1147725,1236212,1287185,1629947,2254922,2287678,3462752,3473112,3517024,4166973]	[0.969,0.674,0.962,0.880,0.646,0.802,0.966,0.986,0.902,0.665,0.502,0.670,0.896]	[145532,294765,1288001,1630481,2255859,2288685]	[0.786,0.820,0.700,0.901,0.894,0.803]	[1.145e+03,5.985e+02,5.901e+02,5.169e+02,7.263e+02,7.913e+02,1.496e+03,1.293e+04,6.179e+02,4.403e+03,2.509e+03,9.058e+02,1.180e+03]	[5.523e+02,3.621e+02,7.167e+02,1.496e+03,3.321e+03,4.854e+02]
2008_01_01_000000.00_X6_BB12_mseed	2008-01-01T00:00:00.000	[989323,1236264,1287067,2254830,2287462,3194067,3473082,4049184,4166706]	[0.584,0.747,0.968,0.984,0.934,0.743,0.511,0.582,0.925]	[1280154,1287784,1631055]	[0.642,0.750,0.530]	[5.937e+02,1.831e+03,1.471e+03,3.896e+04,1.360e+03,8.496e+02,2.914e+03,1.076e+03,1.858e+03]	[7.227e+02,1.258e+03,9.163e+02]
2008_01_01_000000.00_X6_BB13_mseed	2008-01-01T00:00:00.000	[132488,145691,528655,989329,1147987,1236179,1630112,2254791,2287130,2453463,3154802,3155452,3194034,3195907,3323263,4166716]	[0.559,0.801,0.829,0.960,0.638,0.682,0.773,0.967,0.970,0.605,0.603,0.568,0.853,0.537,0.858,0.945]	[146500,529567,1287951,1630761,2255597,2287757,2453923,3157096,3324067]	[0.622,0.643,0.838,0.878,0.831,0.856,0.710,0.748,0.803]	[9.017e+02,6.180e+02,6.424e+02,9.986e+02,7.034e+02,5.581e+02,8.884e+02,1.481e+04,1.694e+03,5.809e+02,7.776e+02,1.134e+03,5.213e+02,6.114e+02,6.778e+02,3.295e+03]	[4.062e+02,6.424e+02,5.177e+02,8.884e+02,5.487e+03,1.694e+03,5.809e+02,1.762e+03,5.679e+02]
2008_01_01_000000.00_X6_BB24_mseed	2008-01-01T00:00:00.000	[278715,528482,989002,1096498,1236416,1279769,1287125,1661843,2255019,2534278,3154226,3193814,3462620,3516884,4166346,4207015]	[0.871,0.871,0.930,0.797,0.568,0.953,0.952,0.842,0.964,0.597,0.713,0.596,0.804,0.708,0.638,0.945]	[529247,1096714,1280153,1287894,2256051,3195960,4036104,4208413,4312265]	[0.688,0.688,0.764,0.847,0.784,0.520,0.547,0.690,0.569]	[3.832e+02,6.152e+02,6.208e+02,7.996e+02,1.428e+03,1.069e+03,8.966e+02,9.024e+02,4.911e+03,4.946e+02,9.665e+02,7.400e+02,1.685e+03,9.736e+02,9.857e+02,7.349e+02]	[6.901e+02,6.667e+02,8.069e+02,4.617e+02,6.645e+03,1.491e+03,6.049e+02,6.401e+02,9.326e+02]
2008_01_01_000000.00_X6_EW17_mseed	2008-01-01T00:00:00.000	[1236423,2223058,2255391,3462704]	[0.830,0.584,0.917,0.649]	[]	[]	[1.242e+03,7.765e+02,1.706e+03,2.250e+03]	[]
2008_01_01_000000.00_X6_EW18_mseed	2008-01-01T00:00:00.000	[379855,556840,596082,847570,1147682,1236440,1661199,2235143,2255423,2363486,2463963,2533646,3450775,3462692,4163667]	[0.615,0.577,0.800,0.765,0.849,0.833,0.833,0.828,0.967,0.801,0.873,0.560,0.666,0.824,0.577]	[847979,1661926,1664784,3451910,4163896]	[0.879,0.536,0.565,0.525,0.640]	[1.082e+03,7.740e+02,4.630e+02,7.870e+02,7.809e+02,1.204e+03,8.615e+02,5.869e+02,2.602e+03,4.986e+02,6.961e+02,7.980e+02,7.328e+02,2.240e+03,5.826e+02]	[7.870e+02,8.615e+02,2.171e+03,1.297e+03,5.826e+02]
2008_01_01_000000.00_X6_EW19_mseed	2008-01-01T00:00:00.000	[556828,1147671,1236456,1282851,1661154,2255477,3450707,3462692,3473004,3516964]	[0.507,0.919,0.712,0.786,0.868,0.975,0.550,0.848,0.566,0.704]	[]	[]	[7.804e+02,8.424e+02,1.801e+03,6.643e+02,8.681e+02,3.060e+03,8.001e+02,2.563e+03,2.102e+03,6.880e+02]	[]
2008_01_01_000000.00_X6_EW20_mseed	2008-01-01T00:00:00.000	[379678,989602,1236464,1661157,2235186,2255499,3450599,3462680,4154787,4166879,4207175]	[0.866,0.586,0.806,0.918,0.530,0.868,0.769,0.778,0.514,0.796,0.794]	[3387422]	[0.598]	[5.778e+02,4.977e+02,1.009e+03,1.014e+03,3.869e+02,5.961e+02,5.881e+02,1.845e+03,5.182e+02,6.262e+02,7.129e+02]	[6.221e+02]
