%Puna north
%Strike Dip Rake
177 43 60
112 75 46
123 79 -15
308 58 -31
299 72 -42
335 62 75
147 77 -6
214 27 -30
134 54 -27
127 88 -13
312 55 -9
319 54 23
330 75 73
158 72 69
144 53 41
355 38 95
329 58 36
159 43 77
272 77 29
133 64 -11
171 88 47
122 69 -17
330 57 40
95 77 -56
325 65 67
103 83 -6
155 33 50
322 50 -23
302 88 -1
329 78 2
347 55 32
142 89 -33
145 65 -23
300 73 -51
137 84 20
136 84 18
219 36 -59
311 54 19
320 46 -11
168 85 12
184 72 -30
328 31 -8
343 46 7
327 77 2
159 72 -16
75 85 89
217 31 49
63 74 -81
323 66 -17
319 77 -19
164 47 71
210 41 -83
315 49 51
147 21 5
7 48 18
